Date,Adj Close,year,month,day
1997/1/29,772.5,1997,1,29
1997/1/30,784.169983,1997,1,30
1997/1/31,786.159973,1997,1,31
1997/2/3,786.72998,1997,2,3
1997/2/4,789.26001,1997,2,4
1997/2/5,778.280029,1997,2,5
1997/2/6,780.150024,1997,2,6
1997/2/7,789.559998,1997,2,7
1997/2/10,785.429993,1997,2,10
1997/2/11,789.590027,1997,2,11
1997/2/12,802.77002,1997,2,12
1997/2/13,811.820007,1997,2,13
1997/2/14,808.47998,1997,2,14
1997/2/18,816.289978,1997,2,18
1997/2/19,812.48999,1997,2,19
1997/2/20,802.799988,1997,2,20
1997/2/21,801.77002,1997,2,21
1997/2/24,810.280029,1997,2,24
1997/2/25,812.030029,1997,2,25
1997/2/26,805.679993,1997,2,26
1997/2/27,795.070007,1997,2,27
1997/2/28,790.820007,1997,2,28
1997/3/3,795.309998,1997,3,3
1997/3/4,790.950012,1997,3,4
1997/3/5,801.98999,1997,3,5
1997/3/6,798.559998,1997,3,6
1997/3/7,804.969971,1997,3,7
1997/3/10,813.650024,1997,3,10
1997/3/11,811.340027,1997,3,11
1997/3/12,804.26001,1997,3,12
1997/3/13,789.559998,1997,3,13
1997/3/14,793.169983,1997,3,14
1997/3/17,795.710022,1997,3,17
1997/3/18,789.659973,1997,3,18
1997/3/19,785.77002,1997,3,19
1997/3/20,782.650024,1997,3,20
1997/3/21,784.099976,1997,3,21
1997/3/24,790.890015,1997,3,24
1997/3/25,789.070007,1997,3,25
1997/3/26,790.5,1997,3,26
1997/3/27,773.880005,1997,3,27
1997/3/31,757.119995,1997,3,31
1997/4/1,759.640015,1997,4,1
1997/4/2,750.109985,1997,4,2
1997/4/3,750.320007,1997,4,3
1997/4/4,757.900024,1997,4,4
1997/4/7,762.130005,1997,4,7
1997/4/8,766.119995,1997,4,8
1997/4/9,760.599976,1997,4,9
1997/4/10,758.340027,1997,4,10
1997/4/11,737.650024,1997,4,11
1997/4/14,743.72998,1997,4,14
1997/4/15,754.719971,1997,4,15
1997/4/16,763.530029,1997,4,16
1997/4/17,761.77002,1997,4,17
1997/4/18,766.340027,1997,4,18
1997/4/21,760.369995,1997,4,21
1997/4/22,774.609985,1997,4,22
1997/4/23,773.640015,1997,4,23
1997/4/24,771.179993,1997,4,24
1997/4/25,765.369995,1997,4,25
1997/4/28,772.960022,1997,4,28
1997/4/29,794.049988,1997,4,29
1997/4/30,801.340027,1997,4,30
1997/5/1,798.530029,1997,5,1
1997/5/2,812.969971,1997,5,2
1997/5/5,830.289978,1997,5,5
1997/5/6,827.76001,1997,5,6
1997/5/7,815.619995,1997,5,7
1997/5/8,820.26001,1997,5,8
1997/5/9,824.780029,1997,5,9
1997/5/12,837.659973,1997,5,12
1997/5/13,833.130005,1997,5,13
1997/5/14,836.039978,1997,5,14
1997/5/15,841.880005,1997,5,15
1997/5/16,829.75,1997,5,16
1997/5/19,833.27002,1997,5,19
1997/5/20,841.659973,1997,5,20
1997/5/21,839.349976,1997,5,21
1997/5/22,835.659973,1997,5,22
1997/5/23,847.030029,1997,5,23
1997/5/27,849.710022,1997,5,27
1997/5/28,847.210022,1997,5,28
1997/5/29,844.080017,1997,5,29
1997/5/30,848.280029,1997,5,30
1997/6/2,846.359985,1997,6,2
1997/6/3,845.47998,1997,6,3
1997/6/4,840.109985,1997,6,4
1997/6/5,843.429993,1997,6,5
1997/6/6,858.01001,1997,6,6
1997/6/9,862.909973,1997,6,9
1997/6/10,865.27002,1997,6,10
1997/6/11,869.570007,1997,6,11
1997/6/12,883.460022,1997,6,12
1997/6/13,893.27002,1997,6,13
1997/6/16,893.900024,1997,6,16
1997/6/17,894.419983,1997,6,17
1997/6/18,889.059998,1997,6,18
1997/6/19,897.98999,1997,6,19
1997/6/20,898.700012,1997,6,20
1997/6/23,878.619995,1997,6,23
1997/6/24,896.340027,1997,6,24
1997/6/25,888.98999,1997,6,25
1997/6/26,883.679993,1997,6,26
1997/6/27,887.299988,1997,6,27
1997/6/30,885.140015,1997,6,30
1997/7/1,891.030029,1997,7,1
1997/7/2,904.030029,1997,7,2
1997/7/3,916.919983,1997,7,3
1997/7/7,912.200012,1997,7,7
1997/7/8,918.75,1997,7,8
1997/7/9,907.539978,1997,7,9
1997/7/10,913.780029,1997,7,10
1997/7/11,916.679993,1997,7,11
1997/7/14,918.380005,1997,7,14
1997/7/15,925.76001,1997,7,15
1997/7/16,936.590027,1997,7,16
1997/7/17,931.609985,1997,7,17
1997/7/18,915.299988,1997,7,18
1997/7/21,912.940002,1997,7,21
1997/7/22,933.97998,1997,7,22
1997/7/23,936.559998,1997,7,23
1997/7/24,940.299988,1997,7,24
1997/7/25,938.789978,1997,7,25
1997/7/28,936.450012,1997,7,28
1997/7/29,942.289978,1997,7,29
1997/7/30,952.289978,1997,7,30
1997/7/31,954.309998,1997,7,31
1997/8/1,947.140015,1997,8,1
1997/8/4,950.299988,1997,8,4
1997/8/5,952.369995,1997,8,5
1997/8/6,960.320007,1997,8,6
1997/8/7,951.190002,1997,8,7
1997/8/8,933.539978,1997,8,8
1997/8/11,937,1997,8,11
1997/8/12,926.530029,1997,8,12
1997/8/13,922.02002,1997,8,13
1997/8/14,924.77002,1997,8,14
1997/8/15,900.809998,1997,8,15
1997/8/18,912.48999,1997,8,18
1997/8/19,926.01001,1997,8,19
1997/8/20,939.349976,1997,8,20
1997/8/21,925.049988,1997,8,21
1997/8/22,923.539978,1997,8,22
1997/8/25,920.159973,1997,8,25
1997/8/26,913.02002,1997,8,26
1997/8/27,913.700012,1997,8,27
1997/8/28,903.669983,1997,8,28
1997/8/29,899.469971,1997,8,29
1997/9/2,927.580017,1997,9,2
1997/9/3,927.859985,1997,9,3
1997/9/4,930.869995,1997,9,4
1997/9/5,929.049988,1997,9,5
1997/9/8,931.200012,1997,9,8
1997/9/9,933.619995,1997,9,9
1997/9/10,919.030029,1997,9,10
1997/9/11,912.590027,1997,9,11
1997/9/12,923.909973,1997,9,12
1997/9/15,919.77002,1997,9,15
1997/9/16,945.640015,1997,9,16
1997/9/17,943,1997,9,17
1997/9/18,947.289978,1997,9,18
1997/9/19,950.51001,1997,9,19
1997/9/22,955.429993,1997,9,22
1997/9/23,951.929993,1997,9,23
1997/9/24,944.47998,1997,9,24
1997/9/25,937.909973,1997,9,25
1997/9/26,945.219971,1997,9,26
1997/9/29,953.340027,1997,9,29
1997/9/30,947.280029,1997,9,30
1997/10/1,955.409973,1997,10,1
1997/10/2,960.460022,1997,10,2
1997/10/3,965.030029,1997,10,3
1997/10/6,972.690002,1997,10,6
1997/10/7,983.119995,1997,10,7
1997/10/8,973.840027,1997,10,8
1997/10/9,970.619995,1997,10,9
1997/10/10,966.97998,1997,10,10
1997/10/13,968.099976,1997,10,13
1997/10/14,970.280029,1997,10,14
1997/10/15,965.719971,1997,10,15
1997/10/16,955.25,1997,10,16
1997/10/17,944.159973,1997,10,17
1997/10/20,955.609985,1997,10,20
1997/10/21,972.280029,1997,10,21
1997/10/22,968.48999,1997,10,22
1997/10/23,950.690002,1997,10,23
1997/10/24,941.640015,1997,10,24
1997/10/27,876.98999,1997,10,27
1997/10/28,921.849976,1997,10,28
1997/10/29,919.159973,1997,10,29
1997/10/30,903.679993,1997,10,30
1997/10/31,914.619995,1997,10,31
1997/11/3,938.98999,1997,11,3
1997/11/4,940.76001,1997,11,4
1997/11/5,942.76001,1997,11,5
1997/11/6,938.030029,1997,11,6
1997/11/7,927.51001,1997,11,7
1997/11/10,921.130005,1997,11,10
1997/11/11,923.780029,1997,11,11
1997/11/12,905.960022,1997,11,12
1997/11/13,916.659973,1997,11,13
1997/11/14,928.349976,1997,11,14
1997/11/17,946.200012,1997,11,17
1997/11/18,938.22998,1997,11,18
1997/11/19,944.590027,1997,11,19
1997/11/20,958.97998,1997,11,20
1997/11/21,963.090027,1997,11,21
1997/11/24,946.669983,1997,11,24
1997/11/25,950.820007,1997,11,25
1997/11/26,951.640015,1997,11,26
1997/11/28,955.400024,1997,11,28
1997/12/1,974.77002,1997,12,1
1997/12/2,971.679993,1997,12,2
1997/12/3,976.77002,1997,12,3
1997/12/4,973.099976,1997,12,4
1997/12/5,983.789978,1997,12,5
1997/12/8,982.369995,1997,12,8
1997/12/9,975.780029,1997,12,9
1997/12/10,969.789978,1997,12,10
1997/12/11,954.940002,1997,12,11
1997/12/12,953.390015,1997,12,12
1997/12/15,963.390015,1997,12,15
1997/12/16,968.039978,1997,12,16
1997/12/17,965.539978,1997,12,17
1997/12/18,955.299988,1997,12,18
1997/12/19,946.780029,1997,12,19
1997/12/22,953.700012,1997,12,22
1997/12/23,939.130005,1997,12,23
1997/12/24,932.700012,1997,12,24
1997/12/26,936.460022,1997,12,26
1997/12/29,953.349976,1997,12,29
1997/12/30,970.840027,1997,12,30
1997/12/31,970.429993,1997,12,31
1998/1/2,975.039978,1998,1,2
1998/1/5,977.070007,1998,1,5
1998/1/6,966.580017,1998,1,6
1998/1/7,964,1998,1,7
1998/1/8,956.049988,1998,1,8
1998/1/9,927.690002,1998,1,9
1998/1/12,939.210022,1998,1,12
1998/1/13,952.119995,1998,1,13
1998/1/14,957.940002,1998,1,14
1998/1/15,950.72998,1998,1,15
1998/1/16,961.51001,1998,1,16
1998/1/20,978.599976,1998,1,20
1998/1/21,970.809998,1998,1,21
1998/1/22,963.039978,1998,1,22
1998/1/23,957.590027,1998,1,23
1998/1/26,956.950012,1998,1,26
1998/1/27,969.02002,1998,1,27
1998/1/28,977.460022,1998,1,28
1998/1/29,985.48999,1998,1,29
1998/1/30,980.280029,1998,1,30
1998/2/2,1001.27002,1998,2,2
1998/2/3,1006,1998,2,3
1998/2/4,1006.900024,1998,2,4
1998/2/5,1003.539978,1998,2,5
1998/2/6,1012.460022,1998,2,6
1998/2/9,1010.73999,1998,2,9
1998/2/10,1019.01001,1998,2,10
1998/2/11,1020.01001,1998,2,11
1998/2/12,1024.140015,1998,2,12
1998/2/13,1020.090027,1998,2,13
1998/2/17,1022.76001,1998,2,17
1998/2/18,1032.079956,1998,2,18
1998/2/19,1028.280029,1998,2,19
1998/2/20,1034.209961,1998,2,20
1998/2/23,1038.140015,1998,2,23
1998/2/24,1030.560059,1998,2,24
1998/2/25,1042.900024,1998,2,25
